game_title,platform,release_date,genre,developer,rating,price,multiplayer,description
Super Mario Bros,PlayStation 4,07/03/2019,role-playing,Yoveo,E for Everyone,45.17,true,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
The Legend of Zelda,Xbox One,28/06/2014,role-playing,Twitterwire,E for Everyone,52.82,true,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem."
Minecraft,Nintendo Switch,26/08/2018,sports,Twinte,M for Mature,65.67,false,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
Grand Theft Auto V,PC,04/11/1980,sandbox,Leexo,M for Mature,98.44,true,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
Fortnite,PlayStation 4,20/05/1990,platformer,Meejo,E for Everyone,86.23,false,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
Call of Duty: Modern Warfare,Xbox One,12/06/2017,platformer,Jaxspan,E for Everyone,47.52,true,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
FIFA 21,Nintendo Switch,07/02/2000,platformer,Meemm,T for Teen,18.02,true,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
Assassin's Creed Valhalla,PC,09/05/2006,action,Blogpad,E for Everyone,37.91,false,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
Animal Crossing: New Horizons,PlayStation 4,06/08/1989,educational,Eadel,M for Mature,31.08,true,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi."
Overwatch,Xbox One,09/04/1985,fighting,Plajo,E for Everyone,69.3,false,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
League of Legends,Nintendo Switch,25/02/2018,stealth,Roombo,T for Teen,31.37,false,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
World of Warcraft,PC,16/03/1994,shooter,Trudoo,T for Teen,78.27,true,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
Madden NFL 21,PlayStation 4,13/12/1993,puzzle,Dabfeed,M for Mature,33.53,false,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
NBA 2K21,Xbox One,14/07/1999,horror,Izio,E for Everyone,11.81,false,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
