product_id,product_name,description,price,material,color,dimensions,weight,manufacturer
1,Elegant Bed,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",119.31,wood,Teal,error: Field 'length' not found,89.4,Thoughtstorm
2,Luxury Double Bed,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",33.31,wood,Violet,error: Field 'length' not found,43.4,Yakidoo
3,Classic Door,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",214.3,leather,Mauv,error: Field 'length' not found,81.7,Meevee
4,Comfortable Chair,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",499.95,wood,Blue,error: Field 'length' not found,91.2,Mynte
5,Modern Sofa,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",977.34,fabric,Khaki,error: Field 'length' not found,34.7,Voonix
6,Vintage Dresser,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,699.75,metal,Orange,error: Field 'length' not found,15.1,Dazzlesphere
7,Sleek Nightstand,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,406.26,leather,Orange,error: Field 'length' not found,55.2,Aimbu
8,Rustic Coffee Table,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",748.64,metal,Crimson,error: Field 'length' not found,10.2,Pixope
9,Contemporary Bookshelf,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",689.94,fabric,Blue,error: Field 'length' not found,38.0,Linkbridge
10,Antique Wardrobe,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,951.03,leather,Teal,error: Field 'length' not found,3.3,Photobug
11,Chic Ottoman,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",828.87,fabric,Aquamarine,error: Field 'length' not found,39.3,Flashpoint
12,Stylish Dining Table,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,814.73,metal,Orange,error: Field 'length' not found,77.6,Tagtune
13,Minimalist Desk,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",685.17,leather,Purple,error: Field 'length' not found,19.4,Rhyloo
14,Cozy Armchair,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",205.63,fabric,Fuscia,error: Field 'length' not found,68.3,Realfire
15,Industrial Sideboard,In congue. Etiam justo. Etiam pretium iaculis justo.,287.3,leather,Aquamarine,error: Field 'length' not found,10.9,Realpoint
16,Bohemian Bench,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",998.27,fabric,Yellow,error: Field 'length' not found,79.4,Chatterpoint
17,Ergonomic Office Chair,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",91.92,leather,Fuscia,error: Field 'length' not found,77.3,Divavu
18,Farmhouse TV Stand,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",239.4,metal,Blue,error: Field 'length' not found,74.8,Feedspan
19,Scandinavian Stool,In congue. Etiam justo. Etiam pretium iaculis justo.,867.63,leather,Maroon,error: Field 'length' not found,14.2,Thoughtblab
20,Traditional Rocking Chair,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,881.67,metal,Puce,error: Field 'length' not found,19.7,Mynte
21,Futuristic Console Table,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",158.88,metal,Violet,error: Field 'length' not found,46.6,Meembee
22,Mid-Century Lounge Chair,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,944.64,metal,Teal,error: Field 'length' not found,81.1,Thoughtsphere
23,Glamorous Vanity,Fusce consequat. Nulla nisl. Nunc nisl.,45.7,wood,Mauv,error: Field 'length' not found,86.0,Kare
24,Transitional Chest of Drawers,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,498.86,leather,Aquamarine,error: Field 'length' not found,53.7,Edgeblab
25,Art Deco Mirror,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",211.1,leather,Purple,error: Field 'length' not found,16.1,Leexo
26,Retro Coat Rack,Sed ante. Vivamus tortor. Duis mattis egestas metus.,183.03,fabric,Indigo,error: Field 'length' not found,84.2,Yombu
27,Eclectic Room Divider,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",619.4,fabric,Khaki,error: Field 'length' not found,2.4,Thoughtsphere
28,Colonial Writing Desk,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",48.16,metal,Pink,error: Field 'length' not found,35.5,Pixoboo
29,Victorian Chaise Lounge,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,641.14,leather,Turquoise,error: Field 'length' not found,74.0,Edgewire
30,Mediterranean Bedside Table,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,822.89,leather,Crimson,error: Field 'length' not found,25.0,Avamm
31,Asian-inspired Cabinet,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,526.8,metal,Yellow,error: Field 'length' not found,28.8,Livetube
32,Nautical Bar Stool,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,750.5,fabric,Turquoise,error: Field 'length' not found,31.2,Divavu
33,Tropical Outdoor Bench,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,827.22,leather,Puce,error: Field 'length' not found,85.4,Youtags
