title,director,genre,duration,theme,budget,release_date,rating
Hum Aapke Hain Koun...!,Carrol Hovell,horror,152,thriller,Dollar,5/19/2000,2.69
"Love God?, The",Felicdad Took,fantasy,286,romance,Euro,5/28/1969,8.52
Fugitive Pieces,Honor Baugham,comedy,127,action,Real,2/17/1975,3.67
Cinderfella,Rockie Willoughway,animation,16,drama,Yuan Renminbi,12/18/2019,5.3
Unspeakable Acts ,Griff Tessier,fantasy,2,comedy,Shekel,8/22/1947,1.88
Kaspar Hauser,Hilton Lanham,mystery,173,drama,Yuan Renminbi,4/20/1976,8.58
Ship of Fools,Valida Sickling,drama,183,action,Yuan Renminbi,8/27/1969,6.34
Cyclomania,Rockie Tunnadine,western,270,sci-fi,Rupiah,10/18/1969,3.88
Nocturna,Farris MacGown,western,113,romance,Euro,9/5/1955,9.21
Go West,Danya MacRierie,drama,59,comedy,Rupiah,2/25/1902,7.54
Miracle,Sherwin Clendennen,thriller,284,comedy,Ruble,10/19/2013,5.52
Noam Chomsky: Distorted Morality,Kayne Croxon,comedy,173,action,Zloty,12/18/1926,5.22
"Road, Movie",Cookie Reinhardt,thriller,221,drama,Ruble,8/20/1929,9.47
Yolanda and the Thief,Alyosha Longfield,sci-fi,285,comedy,Marka,5/20/1901,8.19
American Reunion (American Pie 4),Joan Rosini,fantasy,159,sci-fi,Yuan Renminbi,8/15/1903,4.66
Phantom,Shannan Iveagh,adventure,29,drama,Peso,6/14/1939,6.41
One Life,Bentlee Hasser,western,147,thriller,Ruble,9/16/1990,9.3
Thirst (Bakjwi),Falkner Dewick,action,285,comedy,Real,1/15/2004,6.96
Forever Strong,Vickie Carlett,sci-fi,103,comedy,Euro,7/19/1967,1.13
"Last Season, The",Gaultiero Ervine,romance,118,romance,Peso,10/8/1981,3.67
Beck - Öga för öga,Eduino Whightman,thriller,211,romance,Dollar,11/10/1917,6.89
Land of Silence and Darkness (Land des Schweigens und der Dunkelheit),Lothario Jouandet,drama,170,romance,Euro,12/2/1929,9.83
T-Men,Ernaline Blouet,drama,103,romance,Dollar,3/18/1946,3.47
Who's Singin' Over There? (a.k.a. Who Sings Over There) (Ko to tamo peva),Courtney Barnsley,animation,226,sci-fi,Ruble,1/5/1986,4.39
Walking Tall,Jobye Gibbett,thriller,54,sci-fi,Euro,5/4/1965,6.54
Mongolian Ping-Pong (Lü cao di),Kikelia Oakes,thriller,283,drama,Yuan Renminbi,12/20/1906,7.57
Bambi 2,Dynah Castel,drama,194,thriller,Rand,11/7/1973,7.78
Jesse Stone: Night Passage,Windy Wapples,adventure,273,comedy,Dinar,5/24/1952,0.34
"House of the Spirits, The",Sadye De Winton,comedy,28,romance,Krona,6/6/1953,9.69
The Front,Star Papachristophorou,comedy,64,drama,Rupiah,11/28/2002,1.46
Wrestling with Alligators,Kameko Marmyon,fantasy,127,drama,Yuan Renminbi,10/23/1911,7.58
Permanent Vacation,Perle Duckering,action,258,action,Peso,3/17/1971,9.38
99 River Street,Prisca Albury,fantasy,187,action,Krona,5/16/1962,2.98
Slappy and the Stinkers,Garey Worsom,western,118,action,Euro,3/21/1940,8.35
Star Trek II: The Wrath of Khan,Fee MacMenamie,thriller,141,thriller,Yuan Renminbi,6/20/1939,8.94
Death Ship,Anita Scully,comedy,271,action,Yuan Renminbi,3/4/1972,9.52
Angels with Dirty Faces,Faythe Hasluck,sci-fi,11,thriller,Euro,2/10/1913,3.27
"Pepi, Luci, Bom (Pepi, Luci, Bom y Otras Chicas del Montón)",Joy Coarser,romance,299,thriller,Rupiah,5/2/1935,8.29
Sarah Silverman:  We Are Miracles,Jarrid Llewelly,comedy,164,romance,Rial,9/23/1912,5.5
Apollo 18,Bronson Brandrick,horror,188,thriller,Tugrik,5/5/1938,5.92
Cirque du Soleil: Varekai,Illa Featherstonehaugh,romance,221,action,Yuan Renminbi,6/4/2009,5.61
"League of Extraordinary Gentlemen, The (a.k.a. LXG)",Annora McNab,sci-fi,261,sci-fi,Franc,10/16/1908,9.34
Slackers,Sybila Wickson,mystery,35,action,Hryvnia,6/19/1914,8.47
"Perfect Holiday, The",Lucina Beeching,animation,28,drama,Rupiah,5/29/1993,5.57
Alice Adams,Reggi Smaling,thriller,288,thriller,Yuan Renminbi,4/2/1981,7.25
Film Noir: Bringing Darkness to Light,Philippa Brice,horror,56,action,Dollar,3/26/1950,6.9
Barbie: A Perfect Christmas,Alys Wingeat,romance,17,comedy,Peso,4/9/1929,5.92
Blood and Sand,Edythe Congram,crime,1,sci-fi,Lek,5/22/1916,7.31
Alvin and the Chipmunks: Chipwrecked,Leeland Reynoldson,crime,293,romance,Euro,7/6/1925,2.15
Cloudy with a Chance of Meatballs,Tore Dirr,mystery,264,romance,Yuan Renminbi,4/21/1903,7.55
Peter and Vandy,Jenine Brunel,horror,163,romance,Rupiah,9/11/1985,2.15
Germinal,Cassaundra Jansson,comedy,232,comedy,Zloty,8/25/1915,5.86
Centurion,Creigh Persent,sci-fi,118,comedy,Zloty,4/6/1961,9.35
Carve Her Name with Pride,Jennie Liddon,adventure,147,sci-fi,Euro,10/3/1934,0.49
Return to Me,Sigismund Whitlow,fantasy,59,comedy,Peso,8/14/1945,4.1
This Man Must Die (Que la bête meure),Corty Tewkesbury,romance,280,drama,Dirham,11/13/2021,0.43
Trans-Europ-Express,Taddeo Espy,action,171,sci-fi,Rupiah,4/12/1913,5.48
Rent-a-Cat,Englebert Beacroft,crime,180,romance,Peso,2/9/1940,4.07
"Conscientious Objector, The",Pat Patton,western,54,romance,Dollar,9/6/2007,7.98
Warrior,Carmita Weagener,adventure,33,drama,Peso,1/30/2004,6.14
Kiss the Bride,Addy Tosspell,comedy,215,drama,Zloty,10/12/1941,3.7
I Travel Alone,Gene Wilkins,action,15,comedy,Yuan Renminbi,10/1/1920,8.17
Lapland Odyssey (Napapiirin sankarit),Nicol Emanson,western,147,sci-fi,Euro,8/3/1921,3.29
Guilty by Suspicion,Jerrome Dauncey,horror,7,drama,Yuan Renminbi,12/31/1997,7.21
Festival in Cannes,Sioux Warren,horror,114,action,Zloty,12/19/1956,5.33
Major League II,Tailor Dane,drama,248,action,Peso,10/12/1963,7.2
I.Q.,Todd Polo,adventure,156,action,Euro,9/10/1938,0.74
